FID_;Entity;Layer;Color;Linetype;Elevation;LineWt;RefName;Layout;LONGITUDE;LATITUDE
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.506;-585.792
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.54;-5.891
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.512;-588.831
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.472;-5.869
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;10.744;-58.584
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.42;-5.874
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.459;-588.616
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.471;-5.935
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;10.749;-595.178
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.516;-595.155
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.505;-59.702
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-PROCESS;Off;107.503;-59.217
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-COMPRESSOR;Off;107.513;-5.927
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-SERVICE;Off;107.489;-59.096
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.491;-59.151
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.5;-592.067
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.516;-59.157
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM FLOW;Off;10.752;-590.86
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM FLOW;Off;107.517;-591.519
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM EA-WELL;Off;10.749;-59.164
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;10.751;-592.622
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.482;-59.459
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.442;-5.84
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.489;-598.957
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;10.746;-599.857
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.453;-60.156
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.484;-600.718
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.57;-60.068
